PolicyReplicaVM Mode;getMaxSmartThings;Total consumido Coudlets;Coudlets averageEnergyHistoryDevice;Total consumido AP(AP DEVICES);AP DEVICES averageEnergyHistoryDevice;SmartThing(0) Power;SmartThing(1) Power;SmartThing(2) Power;SmartThing(3) Power;SmartThing(4) Power;SmartThing(5) Power;SmartThing(6) Power;SmartThing(7) Power;SmartThing(8) Power;SmartThing(9) Power;SmartThing(0) Energy Consumed;SmartThing(1) Energy Consumed;SmartThing(2) Energy Consumed;SmartThing(3) Energy Consumed;SmartThing(4) Energy Consumed;SmartThing(5) Energy Consumed;SmartThing(6) Energy Consumed;SmartThing(7) Energy Consumed;SmartThing(8) Energy Consumed;SmartThing(9) Energy Consumed;VM data transferred in migration;getVMTransferredData / CloudSim.clock;Device's network usage;deviceNetworkUsage / CloudSim.clock;Migration' network usage (total);Migration' network usage (mean);getNetWorkUsageInMigration / CloudSim.clock;Total network usage;getNetworkUsage() / CloudSim.clock;CloudSim.clock;Total of migrations;Total of handoff;Different Cloudlets reached along the user's path;Average of without connection;Average of without Vm;Average of delay after new Connectionl;Average of Time of Migrations;Hightest Time of Migrations;Average of Downtime;Max Downtime;Tuple lost;Tuple lost;Total tuple;
LIVE_MIGRATION_PRECOPY;9;4.450163511082247E10;3.090391327140449E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;3.003030576531435E8;5.912607658957294E7;5.611936203827021E7;2.6094873609146604E8;2.5054164453111E8;1.7601575858642998E8;2.342522247314605E7;3.354698066496525E7;1.5377290405744964E8;0;3712.0;0.0010248481501932633;4.52488056E8;124.92767973495306;4.236818362612332E10;2.0175325536249201E9;11697.455446196389;4.282067168212332E10;11822.383125931343;3622000.0;21;58;57;1060.6138139194547;312009.406965589;463489.3760151623;197910.0852747528;204533.42104679885;9895.504263737643;70931.92839196225;0.06265968179924475%;6741;10758114;
LIVE_MIGRATION_MIRROR;9;4.450784124114935E10;3.09082230841315E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;3.001636062466091E8;5.879723390188411E7;5.575966860794034E7;2.6105655261796808E8;2.5043799852654544E8;1.757754432379445E8;2.3190448495389547E7;3.356373754324751E7;1.5386788922318882E8;0;3712.0;0.0010248481501932633;4.61074284E8;127.29825621203754;5.459362905121847E10;2.5996966214865937E9;15072.7854917776;5.505470333521847E10;15200.083747989638;3622000.0;21;58;57;1060.6138139194547;293687.01901308785;459450.28461435257;256497.60412564897;265891.57704431424;3170.948562717084;24279.714533558334;0.061561628223307116%;6739;10946754;
MIGRATION_COMPLETE_VM;10;4.387871192149083E10;3.047132772325752E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;2.83865094469322E8;5.807401762954103E7;5.0563758069435254E7;2.4010783717954913E8;2.4938637130901864E8;1.5165495387353143E8;1.2387072528295338E7;1.0984279528815355E7;1.530896198101336E8;1.448546967676584E8;3200.0;8.83489784649365E-4;2.23597926E8;61.7332760905577;3.456749782836943E10;1.920416546020524E9;9543.75975382922;3.479109575436943E10;9605.493029919777;3622000.0;18;65;64;1043.6283521158293;431672.998181259;450753.39163168427;99544.92844422121;102270.49757859514;99544.92844422121;806902.316962501;12.697256826986495%;919079;7238406;
LIVE_MIGRATION_POSTCOPY;10;4.460101194458676E10;3.0972924961518586E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;3.0540550706858534E8;5.9295949663388014E7;5.593233520024675E7;2.6446365048964503E8;2.5460206010710263E8;1.800843675353852E8;2.3293235845411807E7;3.356661516964767E7;1.5714529830336437E8;1.5909655846561632E8;4096.0;0.0011308669243511873;5.99096088E8;165.40477305356157;4.466295193934427E10;2.030134179061103E9;12331.019309592564;4.526204802734427E10;12496.424082646126;3622000.0;22;65;64;1043.6283521158293;328706.1866532956;456559.8297280334;128290.77124256306;132949.44713193647;19243.61568638446;157311.73081889786;0.06226648338337632%;8996;14447580;
LIVE_MIGRATION_PRECOPY;10;4.456228304053172E10;3.094602988925814E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;3.0554029906964576E8;5.928264711885987E7;5.588477097415182E7;2.643560646282587E8;2.5463015677411345E8;1.8017571213572648E8;2.3284753846432384E7;3.356806837023684E7;1.5724005128786546E8;1.5909621170947847E8;4224.0;0.0011662065157371619;5.98524894E8;165.247071783545;4.843957473688812E10;2.0183156140370052E9;13373.709204000033;4.903809963088812E10;13538.95627578358;3622000.0;24;65;64;1043.6283521158293;314828.63259142713;469132.3910845193;196788.3013345515;204533.962462371;9839.415066727574;80718.04887164247;0.061681206930502906%;8899;14427409;
LIVE_MIGRATION_MIRROR;10;4.453457178900183E10;3.0926785964584607E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;82.44;3.0559954138685834E8;5.8818726412601344E7;5.5863728865044184E7;2.645046095498998E8;2.54889918911322E8;1.7955692459227988E8;2.3067325339114804E7;3.3273494166931838E7;1.5714712863850445E8;1.593046433734931E8;4224.0;0.0011662065157371619;7.9377579E8;219.15400055218112;6.186109380670817E10;2.577545575279507E9;17079.263889207115;6.265486959670817E10;17298.417889759294;3622000.0;24;65;63;1047.0587696045718;297474.89604080893;468014.47741764126;257664.2169314192;265892.1184598864;3212.844982955166;27884.761926598094;0.05678302246311105%;11418;20108123;
MIGRATION_COMPLETE_VM;7;4.3727138371773674E10;3.036606831373172E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;0;2.8427250598918015E8;5.8135001880708516E7;5.055980198739592E7;2.4038528954948902E8;2.497576065768142E8;1.516569663539752E8;1.2463076851955676E7;0;0;0;2304.0;6.361126449475428E-4;1.75289418E8;48.39575317504141;2.4828938443974285E10;1.9099183418441758E9;6855.035462168494;2.5004227861974285E10;6903.431215343536;3622000.0;13;46;46;1057.7568646769573;431813.1992174707;453895.1437786218;99681.11746773928;102269.75812277601;99681.11746773928;609210.2854937984;12.260174583845384%;657841;5365674;
LIVE_MIGRATION_POSTCOPY;7;4.42888462628386E10;3.075614323808236E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;0;3.004842329700491E8;5.908894563156528E7;5.628764076947555E7;2.6064961547728032E8;2.502021325550883E8;1.760398983381577E8;2.339118293127306E7;0;0;0;3072.0;8.481501932633904E-4;3.77315634E8;104.17328382109332;3.3481999783370808E10;1.9695293990218122E9;9244.063993200112;3.3859315417370808E10;9348.237277021206;3622000.0;17;46;45;1062.4201146955259;330004.00043807604;515567.87822442834;128417.2116641917;132948.70767611734;19262.581749628753;118610.12884429879;0.03912137607435259%;5268;13465784;
LIVE_MIGRATION_PRECOPY;7;4.430323171784976E10;3.076613313739567E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;0;3.004644034826842E8;5.911263405662989E7;5.631137170835332E7;2.6048800705483642E8;2.501472417474886E8;1.7606275899374074E8;2.33869013572129E7;0;0;0;3072.0;8.481501932633904E-4;3.76468278E8;103.9393368304804;3.5180450086548996E10;2.069438240385235E9;9712.990084635283;3.5556918364548996E10;9816.929421465764;3622000.0;17;46;46;1057.7568646769573;317231.7096606026;492848.7141222086;197179.26560335676;204533.22300655188;9858.963280167842;60820.59066956323;0.059499162428713295%;5206;8749703;
LIVE_MIGRATION_MIRROR;7;4.429863006065895E10;3.076293754212427E8;28800.0;100.0;82.44;82.44;82.44;82.44;82.44;82.44;82.44;0;0;0;2.9951321236606437E8;5.867782664143929E7;5.58287402961371E7;2.602310363292032E8;2.497925098951024E8;1.7558216206997663E8;2.3383951329557046E7;0;0;0;3072.0;8.481501932633904E-4;3.74646624E8;103.43639536167863;4.523200725413443E10;2.660706309066731E9;12488.130108816795;4.560665387813443E10;12591.566504178472;3622000.0;17;46;46;1057.7568646769573;296731.72866349755;489587.0406386276;256313.78131600644;265891.3790040673;3125.693838843292;20339.563263506174;0.059850398068744655%;5223;8726759;
